sample_id	taxon_name	host_family	host_genus	substrate_type	site_id	voucher	accession	reference	substrate_notes		
P539	Peltigera_hymenina	peltigeraceae	peltigera	terricolous	NA	"Norway, Magain s.n., LG"		This study; Magain et al. 2017			Norway
P607	Peltigera_sp_3	peltigeraceae	peltigera	terricolous	NA	"New Zealand, Stenroos 5820, H"		This study; Magain et al. 2017			New Zealand
P6447	Peltigera_collina	peltigeraceae	peltigera	epiphytic	ABMI 691	"Canada, Alberta, ABMI ID 10057, PMAE"		This study	Tree/Other		Canada
P6465	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	ABMI 608	"Canada, Alberta, ABMI ID 307340, PMAE"		This study	log/stump		Canada
P6524	Peltigera_praetextata	peltigeraceae	peltigera	epiphytic	ABMI 877	"Canada, Alberta, ABMI ID 250894, PMAE"		This study	Tree/Other		Canada
P6600	Peltigera_canina_2	peltigeraceae	peltigera	terricolous	NA	"Canada, Québec, Darnajoux 676, DUKE"		This study; Darnajoux et al. 2019			Canada
P6602	Peltigera_borealis	peltigeraceae	peltigera	terricolous	NA	"Canada, Québec, Darnajoux 628, DUKE"		This study; Darnajoux et al. 2019			Canada
P6620	Peltigera_neopolydactyla	peltigeraceae	peltigera	terricolous	NA	R. Darnajoux 615 DUKE		This study; Darnajoux et al. 2019			Canada
P6636	Peltigera_fuscopraetextata 	peltigeraceae	peltigera	terricolous	NA	"Chile, Magain NM50, DUKE"		This study			Canada
P6963	Peltigera_nana	peltigeraceae	peltigera	terricolous	GoLife Malaysia-KinabaluHQ-1-C1-P1	"Malaysia, Kinabalu Park, Magain, Duke"		This study	on mosses on soil		Malaysia
P6970	Peltigera_serusiauxii	peltigeraceae	peltigera	terricolous	GoLife Malaysia-Kinabalu-3-C3-P1	"Malaysia, Kinabalu Park, Magain, Duke"		This study	on mossy slope		Malaysia
P8202	Peltigera_latiloba	peltigeraceae	peltigera	terricolous	ABMI 499	"Canada, Alberta, ABMI ID 1276480, PMAE"		This study	Tree/Other		Canada
P8219	Peltigera_islandica	peltigeraceae	peltigera	terricolous	ABMI OG-ABMI-477-21	"Canada, Alberta, ABMI ID 616803, PMAE"		This study	Wetland		Canada
P8231	Peltigera_ponojensis_monticola_1a	peltigeraceae	peltigera	terricolous	ABMI 1285	"Canada, Alberta, ABMI ID 802891, PMAE"		This study	Rock		Canada
P8256	Peltigera_didactyla_3	peltigeraceae	peltigera	terricolous	ABMI 210	"Canada, Alberta, ABMI ID 1264020, PMAE"		This study	Upland		Canada
P8569	Peltigera_elisabethae	peltigeraceae	peltigera	terricolous	ABMI 1293	"Canada, Alberta, ABMI ID 1269920, PMAE"		This study	Log/Stump		Canada
P8570	Peltigera_canina_1	peltigeraceae	peltigera	terricolous	ABMI 1293	"Canada, Alberta, ABMI ID 1269815, PMAE"		This study	Upland		Canada
P8571	Peltigera_praetextata	peltigeraceae	peltigera	terricolous	ABMI 1293	"Canada, Alberta, ABMI ID 1269801, PMAE"		This study	Upland		Canada
P8575	Peltigera_neckeri	peltigeraceae	peltigera	terricolous	ABMI 1293	"Canada, Alberta, ABMI ID 1269817, PMAE"		This study	Upland		Canada
P8577	Peltigera_aphthosa_5	peltigeraceae	peltigera	terricolous	ABMI 1293	"Canada, Alberta, ABMI ID 1270086, PMAE"		This study	log/stump		Canada
P8580	Peltigera_canina_1	peltigeraceae	peltigera	terricolous	ABMI 1293	"Canada, Alberta, ABMI ID 1269794, PMAE"		This study	Upland		Canada
P8690	Peltigera_malacea_3	peltigeraceae	peltigera	terricolous	ABMI 1030	"Canada, Alberta, ABMI ID 292089, PMAE"		This study	Upland		Canada
P8768	Peltigera_aff_didactyla	peltigeraceae	peltigera	terricolous	ABMI OG-ABMI-1368-1	"Canada, Alberta, ABMI ID 159071, PMAE"		This study	Upland		Canada
P8840	Peltigera_leucophlebia_1	peltigeraceae	peltigera	terricolous	ABMI 1070	"Canada, Alberta, ABMI ID 391119, PMAE"		This study	UH		Canada
P8857	Peltigera_scabrosa_1	peltigeraceae	peltigera	terricolous	ABMI 576	"Canada, Alberta, ABMI ID 618295, PMAE"		This study	Upland		Canada
P8926	Peltigera_malacea_2	peltigeraceae	peltigera	terricolous	ABMI 83	"Canada, Alberta, ABMI ID 58543, PMAE"		This study	Upland		Canada
P9119	Peltigera_frippii	peltigeraceae	peltigera	terricolous	ABMI 6	"Canada, Alberta, ABMI ID 90575, PMAE"		This study	Rock		Canada
P9121	Peltigera_appalachiensis	peltigeraceae	peltigera	terricolous	ABMI 450	"Canada, Alberta, ABMI ID 44943, PMAE"		This study	Wetland		Canada
P943	Peltigera_extenuata_2	peltigeraceae	peltigera	terricolous	NA	"Colombia, Lücking 33627, UDBC"		This study			Colombia
P9639	Massalongia_carnosa	massalongiaceae	massalongia	terricolous	ABMI 37	"Canada, Alberta, ABMI ID 1260051, PMAE"		This study			Canada
P9728	Peltigera_malacea_2	peltigeraceae	peltigera	terricolous	ABMI 659	"Canada, Alberta, ABMI ID 758897, PMAE"		This study			Canada
P9820	Peltigera_canina_2	peltigeraceae	peltigera	terricolous	ABMI 916	"Canada, Alberta, ABMI ID 160887, PMAE"		This study	log/stump		Canada
P9822	Peltigera_malacea_2	peltigeraceae	peltigera	terricolous	ABMI 941	"Canada, Alberta, ABMI ID 251055, PMAE"		This study	Upland		Canada
P9895	Nephroma_resupinatum	nephromataceae	nephroma	epiphytic	ABMI 930	"Canada, Alberta, ABMI ID 1388226, PMAE"		This study	log/stump		Canada
S1	Fuscopannaria_crystallifera	pannariaceae	pannariaceae	epiphytic	NA	Sérusiaux PAN_D LG					
