DNA extraction no.*,Species name and clade no.**,Voucher,Mycobiont multilocus sequence type,Chemotype,ITS,_ -tubulin,COR1b,COR3,No. of genes,Nostoc haplotype****,Nostoc phylogroup,rbcLX
P1033,P. britannica 1,"Norway, N. Magain s.n., 2011, LG ",H69,bri I,MK680389,MK688882,missing,missing,2,H3,IV,MK720740
P1049,P. britannica 1,"U.S., Montana, C. Wetmore 94801, MIN",H55,N/A,MK680388,MK688881,MK688668,missing,3,N/A,N/A,missing
P1050,P. britannica 1,"U.S., Oregon, C. Wetmore 94993, MIN",H57,bri II,MK680391,MK688883,MK688669,missing,3,H9,IV,MK720742
P1065,P. britannica 1,"U.S., Minnesota, C. Wetmore 96135, MIN",H71,bri I,MK680394,MK688886,MK688670,MK688760,4,N/A,N/A,missing
P1080,P. britannica 1,"U.S., Washington, C. Wetmore 24550, MIN",H57,bri I,MK680393,MK688885,missing,missing,2,H9,IV,MK720747
P1324,P. britannica 1,"Canada, British Columbia, J. Lendemer 22342, NYBG 01221288",H60,bri I,MK680377,MK688869,MK688664,missing,3,H9,IV,MK720756
P1325,P. britannica 1,"Canada, British Columbia, J. Lendemer 22343, NYBG 01221287",H61,N/A,MK680378,MK688870,missing,missing,2,N/A,N/A,missing
P228,P. britannica 1,"Canada, British Columbia, T. Goward 09-120, UBC",H64,N/A,MK680381,MK688873,missing,missing,2,H9,IV,MK720764
P229,P. britannica 1,"Canada, British Columbia, T. Goward 08-76, UBC",H65,bri II,MH734722P,MK688874,MK688665,missing,3,H3,IV,MK720765
P234,P. britannica 1,"Canada, British Columbia, T. Goward 08-72, UBC",H66,N/A,MK680383,MK688876,missing,missing,2,N/A,N/A,missing
P235,P. britannica 1,"Canada, British Columbia, T. Goward 06-834A, UBC",H66,bri II,MK680384,MK688877,missing,missing,2,N/A,N/A,missing
P747,P. britannica 1,"Spain, H. Sipman 45194, B",H70,bri I,MK680392,MK688884,missing,missing,2,N/A,N/A,missing
P784,P. britannica 1,"Norway, N. Magain s.n., 2011, LG ",H69,bri I,MK680390,missing,missing,missing,1,N/A,N/A,missing
Tønsberg 7672,P. britannica 1,"Norway, T. Tønsberg 7672, BG",H67,N/A,AF158646,missing,missing,missing,1,N/A,N/A,missing
HOB020708-0-1-9,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H53,N/A,FJ708857,FJ709286,missing,missing,2,N/A,N/A,missing
HOB020708-31-5-6,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H54,N/A,FJ708852,FJ709282,missing,missing,2,N/A,N/A,missing
HOB020708-39-1-10,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H53,N/A,FJ708858,FJ709287,missing,missing,2,N/A,N/A,missing
HOB030611-10-0-1,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H54,N/A,FJ708853,FJ709283,missing,missing,2,N/A,N/A,missing
HOB030611-5-5-1,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H54,N/A,FJ708854,FJ709284,missing,missing,2,N/A,N/A,missing
P1043,P. britannica 2,"U.S., Colorado, C. Wetmore 95265, MIN",H68,bri I,MK680386,MK688879,MK688666,MK688759,4,N/A,N/A,missing
P1066,P. britannica 2,"U.S., Wyoming, C. Wetmore 96597, MIN",H72,N/A,MK680395,MK688887,MK688671,MK688761,4,N/A,N/A,missing
P1078,P. britannica 2,"Canada, Yukon, B. McCune 31431, McCune herb.",H73,bri I,MK680396,MK688888,MK688672,MK688762,4,H22,IV,MK720746
P285,P. britannica 2,"Canada, Alberta, J. Hollinger 1032, UBC",H53,aph Ia ,MK680385,MK688878,missing,MK688758,3,H10,VI,MK720769
P779,P. britannica 2,"Iceland, H. Kristinsson 48989, AMNH",H54,bri I,MK680387,MK688880,MK688667,missing,3,N/A,N/A,missing
TG 95-255,P. chionophila,"Canada, British Columbia, T. Goward 95-255, UBC",H75,N/A,AF158648,missing,missing,missing,1,N/A,N/A,missing
TG 96-494,P. chionophila,"Canada, British Columbia, T. Goward 96-494, UBC",H74,N/A,AF158647,missing,missing,missing,1,N/A,N/A,missing
P1139,P. chionophila,"Canada, British Columbia, T. Goward 02-413, UBC",H76,chio I,MK680397,MK688889,MK688673,missing,3,N/A,N/A,missing
P1140,P. chionophila,"Canada, British Columbia, T. Goward 02-398, UBC",H75,N/A,MK680398,MK688890,MK688674,missing,3,N/A,N/A,missing
P1141,P. chionophila,"Canada, British Columbia, T. Goward 02-575, UBC",H75,N/A,MK680399,MK688891,MK688675,missing,3,N/A,N/A,missing
P1142,P. chionophila,"Canada, British Columbia, T. Goward 02-414, UBC",H77,chio I,MK680400,MK688892,MK688676,missing,3,N/A,N/A,missing
